スクリプトは 2020年10月14日 15時10分06秒
 に開始しました]0;kerberos@world: ~/NAK_workspace/MCMPC_Project/MCMPC/example/CartTypeInvertedPendulumkerberos@world:~/NAK_workspace/MCMPC_Project/MCMPC/example/CartTypeInvertedPendullum$ cat sesman_kerberos_passwd [C[C[C[C[C[1@echo[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[1Pcat[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[K./Inverted_Pendulum 
hoge
#Successful copy of parameters from host to device d_param == 0.100000
|--------Start Simulation Loop--------|InitValues : 0.000000
Function: 0.000000
ID:6440 Cost:2221.313721
ID:6441 Cost:2225.965576
ID:6442 Cost:2324.853760
ID:6443 Cost:2417.415039
ID:6444 Cost:2617.594727
ID:6445 Cost:2224.646973
ID:6446 Cost:2244.886963
ID:6447 Cost:2415.927979
ID:6448 Cost:2602.790527
ID:6449 Cost:2327.102295
ID:6450 Cost:2278.296143
ID:6451 Cost:2238.638916
ID:6452 Cost:2372.274170
ID:6453 Cost:2571.556885
ID:6454 Cost:2225.696777
ID:6455 Cost:2243.604248
ID:6456 Cost:2264.564697
ID:6457 Cost:2454.906982
ID:6458 Cost:2232.338135
ID:6459 Cost:2323.326172
ID:6460 Cost:2267.406982
ID:6461 Cost:2480.295410
ID:6462 Cost:2305.907471
ID:6463 Cost:2411.181885
ID:8800 Cost:2378.017334
ID:8801 Cost:2251.317627
ID:8802 Cost:2230.069580
ID:8803 Cost:2236.157959
ID:8804 Cost:2350.034424
ID:8805 Cost:2223.098145
ID:8806 Cost:2289.208252
ID:8807 Cost:2221.703857
ID:8808 Cost:2261.734619
ID:8809 Cost:2267.873291
ID:8810 Cost:2308.469482
ID:8811 Cost:2701.828857
ID:8812 Cost:2271.421631
ID:8813 Cost:2223.741699
ID:8814 Cost:2627.531494
ID:8815 Cost:2527.834473
ID:8816 Cost:2228.745850
ID:8817 Cost:2241.127197
ID:8818 Cost:2301.586670
ID:8819 Cost:2353.957520
ID:8820 Cost:2269.417480
ID:8821 Cost:2259.377197
ID:8822 Cost:2347.412842
ID:8823 Cost:2246.191162
ID:8824 Cost:2481.786865
ID:8825 Cost:2251.888672
ID:8826 Cost:2401.584473
ID:8827 Cost:3103.344482
ID:8828 Cost:2230.894287
ID:8829 Cost:2386.720947
ID:8830 Cost:2248.706787
ID:8831 Cost:2536.115967
ID:4032 Cost:2234.163818
ID:4033 Cost:2335.115479
ID:4034 Cost:2223.073975
ID:4035 Cost:2222.811768
ID:4036 Cost:2529.807129
ID:4037 Cost:2221.956787
ID:4038 Cost:2296.494629
ID:4039 Cost:2281.103271
ID:4040 Cost:2293.063721
ID:4041 Cost:2286.010010
ID:4042 Cost:2316.978027
ID:4043 Cost:2264.402100
ID:4044 Cost:2452.675781
ID:4045 Cost:2364.673096
ID:4046 Cost:2632.284668
ID:4047 Cost:2357.787354
ID:4048 Cost:2244.956787
ID:4049 Cost:2221.096680
ID:4050 Cost:2485.132324
ID:4051 Cost:2356.899170
ID:4052 Cost:2239.258545
ID:4053 Cost:2292.665527
ID:4054 Cost:2229.416748
ID:4055 Cost:2224.862549
ID:4056 Cost:2233.309326
ID:4057 Cost:2247.396240
ID:4058 Cost:2391.260498
ID:4059 Cost:2242.635498
ID:4060 Cost:2721.020752
ID:4061 Cost:2275.734619
ID:4062 Cost:2261.751953
ID:4063 Cost:2297.032227
ID:1664 Cost:2256.504395
ID:1665 Cost:2222.531250
ID:1666 Cost:2272.707764
ID:1667 Cost:2224.899902
ID:1668 Cost:2290.542969
ID:1669 Cost:2244.045166
ID:1670 Cost:2333.845947
ID:1671 Cost:2266.140381
ID:1672 Cost:2252.401611
ID:1673 Cost:2302.799072
ID:1674 Cost:2224.903076
ID:1675 Cost:2319.663818
ID:1676 Cost:2441.919189
ID:1677 Cost:2305.750977
ID:1678 Cost:2297.395996
ID:1679 Cost:2625.539062
ID:1680 Cost:2230.881104
ID:1681 Cost:2481.787354
ID:1682 Cost:2235.752686
ID:1683 Cost:2625.112549
ID:1684 Cost:2223.901123
ID:1685 Cost:2224.196533
ID:1686 Cost:2305.723633
ID:1687 Cost:2350.820068
ID:1688 Cost:2301.245117
ID:1689 Cost:2330.332764
ID:1690 Cost:2236.843506
ID:1691 Cost:2228.016357
ID:1692 Cost:2232.290771
ID:1693 Cost:2250.868164
ID:1694 Cost:2238.108154
ID:1695 Cost:2273.879150
ID:3600 Cost:2420.144287
ID:3601 Cost:2253.646484
ID:3602 Cost:2410.243652
ID:3603 Cost:2348.258057
ID:3604 Cost:2293.994873
ID:3605 Cost:2237.174072
ID:3606 Cost:2247.143799
ID:3607 Cost:2221.132080
ID:3608 Cost:2304.662354
ID:3609 Cost:2315.844971
ID:3610 Cost:2395.874023
ID:3611 Cost:2222.696045
ID:3612 Cost:2947.607910
ID:3613 Cost:2240.719971
ID:3614 Cost:2234.766357
ID:3615 Cost:2225.540039
ID:3616 Cost:2309.105713
ID:3617 Cost:2269.618652
ID:3618 Cost:2313.929688
ID:3619 Cost:2222.378662
ID:3620 Cost:2315.098145
ID:3621 Cost:2232.272705
ID:3622 Cost:2390.503662
ID:3623 Cost:2227.319580
ID:3624 Cost:2308.325928
ID:3625 Cost:2223.831055
ID:3626 Cost:2236.280029
ID:3627 Cost:2228.638428
ID:3628 Cost:2223.379639
ID:3629 Cost:2297.816406
ID:3630 Cost:2347.899658
ID:3631 Cost:2374.668213
ID:1232 Cost:2371.408447
ID:1233 Cost:2222.596924
ID:1234 Cost:2291.124023
ID:1235 Cost:2294.496094
ID:1236 Cost:2372.965088
ID:1237 Cost:2388.083740
ID:1238 Cost:2440.871338
ID:1239 Cost:2222.965088
ID:1240 Cost:2304.441162
ID:1241 Cost:2237.584229
ID:1242 Cost:2260.580078
ID:1243 Cost:2221.094482
ID:1244 Cost:2280.289062
ID:1245 Cost:2304.768799
ID:1246 Cost:2294.458740
ID:1247 Cost:2333.007324
ID:1248 Cost:2228.475830
ID:1249 Cost:2265.310303
ID:1250 Cost:2295.003906
ID:1251 Cost:2431.062500
ID:1252 Cost:2223.477783
ID:1253 Cost:2330.533936
ID:1254 Cost:2229.519287
ID:1255 Cost:2309.886963
ID:1256 Cost:2225.110840
ID:1257 Cost:2374.489502
ID:1258 Cost:2221.178223
ID:1259 Cost:2256.503174
ID:1260 Cost:2236.581299
ID:1261 Cost:2243.540771
ID:1262 Cost:2275.154785
ID:1263 Cost:2227.077881
ID:3664 Cost:2238.281006
ID:3665 Cost:2342.139404
ID:3666 Cost:2334.481201
ID:3667 Cost:2334.618896
ID:3668 Cost:2263.257568
ID:3669 Cost:2252.601807
ID:3670 Cost:2313.866455
ID:3671 Cost:2221.102783
ID:3672 Cost:2222.347900
ID:3673 Cost:2238.541260
ID:3674 Cost:2248.996826
ID:3675 Cost:2223.190918
ID:3676 Cost:2226.711182
ID:3677 Cost:2321.347900
ID:3678 Cost:2295.814941
ID:3679 Cost:2452.121582
ID:3680 Cost:2273.423828
ID:3681 Cost:2223.036377
ID:3682 Cost:2550.439209
ID:3683 Cost:2248.866455
ID:3684 Cost:2242.723877
ID:3685 Cost:2224.585693
ID:3686 Cost:2230.868408
ID:3687 Cost:2333.007080
ID:3688 Cost:2660.620361
ID:3689 Cost:2221.069092
ID:3690 Cost:2286.758789
ID:3691 Cost:2281.198975
ID:3692 Cost:2223.375244
ID:3693 Cost:2252.465576
ID:3694 Cost:2319.669678
ID:3695 Cost:3164.274414
ID:4732 Cost:2253.209229
ID:4733 Cost:2227.645264
ID:4734 Cost:2323.314697
ID:4735 Cost:2236.925049
ID:4736 Cost:2226.808838
ID:4737 Cost:2364.756836
ID:4738 Cost:2417.763672
ID:4739 Cost:2281.348389
ID:4740 Cost:2406.020020
ID:4741 Cost:2656.763184
ID:4742 Cost:2250.656982
ID:4743 Cost:2315.907471
ID:4744 Cost:2252.039795
ID:4745 Cost:2222.250244
ID:4746 Cost:2323.202148
ID:4747 Cost:2223.141602
ID:4748 Cost:2221.020264
ID:4749 Cost:2232.827881
ID:4750 Cost:2691.408203
ID:4751 Cost:2626.002930
ID:4752 Cost:2444.807861
ID:4753 Cost:2230.593506
ID:4754 Cost:2268.602783
ID:4755 Cost:2236.587646
ID:4756 Cost:2649.362793
ID:4757 Cost:2229.971924
ID:4758 Cost:2291.406982
ID:4759 Cost:2228.895264
ID:4760 Cost:2227.401123
ID:4761 Cost:2461.564453
ID:4762 Cost:2368.357178
ID:4763 Cost:2266.561523
ID:9500 Cost:2229.649658
ID:9501 Cost:2320.529541
ID:9502 Cost:2251.717529
ID:9503 Cost:2679.687744
ID:9504 Cost:2335.587158
ID:9505 Cost:2224.535889
ID:9506 Cost:2221.085205
ID:9507 Cost:2295.811035
ID:9508 Cost:2235.427002
ID:9509 Cost:2436.508789
ID:9510 Cost:2235.385010
ID:9511 Cost:2415.158936
ID:9512 Cost:2319.162842
ID:9513 Cost:2233.365479
ID:9514 Cost:2224.646973
ID:9515 Cost:2221.213379
ID:9516 Cost:2243.703857
ID:9517 Cost:2238.723389
ID:9518 Cost:2470.092041
ID:9519 Cost:2232.717041
ID:9520 Cost:2316.601807
ID:9521 Cost:2289.429443
ID:9522 Cost:2227.051025
ID:9523 Cost:2221.859131
ID:9524 Cost:2224.390381
ID:9525 Cost:2257.103760
ID:9526 Cost:2240.951416
ID:9527 Cost:2223.416016
ID:9528 Cost:2312.915771
ID:9529 Cost:2236.314697
ID:9530 Cost:2222.217041
ID:9531 Cost:2320.679443
ID:4764 Cost:2265.676514
ID:4765 Cost:2297.303711
ID:4766 Cost:2577.541504
ID:4767 Cost:2273.972412
ID:4768 Cost:2249.647217
